FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Rebel,General Dodonna,Surprise Attack,"Abandoned Mining
Facility",Volatile Deposits,Providence (Reb),Raymus Antilles,Walex Blissex,Boarding Engineers,Ordnance Experts,Proximity Mines,"Auxiliary 
Shield Teams",Engine Techs,,,,,"MC30c
Torpedo",Foresight,Expert Shield Tech,Ordnance Experts,"Electronic 
Countermeasures","Assault Proton 
Torpedoes",H9 Turbolasers,,,,"Pelta
Command",Sabine Wren,"Auxiliary 
Shield Teams",Proximity Mines,"Intensify
Firepower",,,,"GR-75 Medium
Transports",Ezra Bridger,Proximity Mines,Comms Net,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Proximity Mines,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,"Sato's Hammer
(Mart Mattin)",,,,,,,,,,,,,,,,,,22,399,
Empire,Admiral Sloane,Station Assault,Fighter Ambush,Superior Positions,Victory 2,Harrow,"Instructor
Goran",Flight Controllers,Engine Techs,"Reserve
Hangar Deck",Leading Shots,Spinal Armament,,,,,"Quasar
Fire 1",Pursuant,Flight Commander,Flight Controllers,"Reserve
Hangar Deck",Boosted Comms,,,,,"Gozanti
Cruisers",Admiral Chiraneau,"Reserve
Hangar Deck",Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)",Slave I (Boba Fett),"TIE Fighter 
(Howlrunner)",TIE Interceptor,TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,,,132,398,
Empire,Grand Moff Tarkin,Most Wanted,Hyperspace Assault,Dangerous Territory,ISD 1,Sovereign,Minister Tua,"Darth Vader 
(Boarding)","Electronic 
Countermeasures",Point Defense Ion Cannons,,,,,,,Victory 2,Gunnery Team,,,,,,,,,Raider 1,Ordnance Experts,,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,"TIE Fighter 
(Howlrunner)",TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Bomber,TIE Bomber,TIE Bomber,,,,,,,,,,,75,398,
Empire,Admiral Sloane,Targeting Beacons,Planetary Ion Cannon,Minefields,Raider 1,Corvus,"Darth Vader 
(Boarding)",,,,,,,,,,"Quasar
Fire 1",Squall,Admiral Chiraneau,Flight Controllers,Boosted Comms,"Reserve
Hangar Deck",,,,,"Quasar
Fire 1",Pursuant,"Emperor Palpatine
(Officer)",Boarding Troopers,,,,,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)",YV-666 (Moralo Eval),"TIE Interceptor 
(Saber Squadron)",TIE Interceptor,"Lambda-class 
Shuttle","Lambda-class 
Shuttle",,,,,,,,,,,131,399,
Empire,Admiral Screed,Most Wanted,Fleet Ambush,Dangerous Territory,Gladiator 1,Demolisher,Wulff Yularen,Ordnance Experts,Engine Techs,External Racks,,,,,,,Raider 1,Intel Officer,Ordnance Experts,Quad Laser Turrets,External Racks,,,,,,Raider 1,Intel Officer,Ordnance Experts,Quad Laser Turrets,External Racks,,,,Raider 1,Intel Officer,Ordnance Experts,Quad Laser Turrets,External Racks,,,Raider 1,Intel Officer,"Darth Vader 
(Boarding)",External Racks,,,,"Gozanti
Cruisers",Agent Kallus,Quad Laser Turrets,Comms Net,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,0,398,
Rebel,Admiral Ackbar,Advanced Gunnery,Fighter Ambush,Superior Positions,"MC80 Command
Cruiser",Adar Tallon,"Expanded 
Hangar Bay",Advanced Projectors,Leading Shots,"Quad Battery 
Turrets",,,,,,,"Nebulon-B
Escort",Yavaris,Veteran Captain,,,,,,,,"GR-75 Medium
Transports",Bright Hope,"Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,"Y-wing (Dutch 
Vander)","X-wing (Wedge 
Antilles)","X-wing (Luke 
Skywalker)","Y-wing (Norra 
Wexley)","A-wing (Green 
Squadron)","Y-wing (Gold 
Squadron)",X-wing,Y-wing,Y-wing,,,,,,,,,,129,398,
Empire,Moff Jerjerrod,Precision Strike,Asteroid Tactics,Superior Positions,"Arquitens
Light Cruiser",Captain Needa,"Turbolaser Reroute 
Circuits",,,,,,,,,,"Arquitens
Light Cruiser",Director Krennic,Slaved Turrets,,,,,,,,Gladiator 1,Demolisher,Iden Versio,Ordnance Experts,"Assault Proton 
Torpedoes",,,,"Quasar
Fire 2",Captain Brunson,Flight Controllers,Veteran Gunners,Boosted Comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,"TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","TIE Interceptor 
(Soontir Fel)","JumpMaster 5000
(Tel Trevura)",,,,,,,,,,,,,,,81,400,
Empire,Moff Jerjerrod,,,,"Star Dreadnought
Assault Prototype",Ravager,Captain Needa,Governor Pryce,Expert Shield Tech,Gunnery Team,Quad Laser Turrets,Flak Guns,SW-7 Ion Batteries,"Heavy Ion
Emplacements","Quad Battery 
Turrets","Linked Turbolaser
Towers","Gozanti
Cruisers","Darth Vader 
(Officer)",Proximity Mines,Comms Net,,,,,,,"Gozanti
Cruisers",Admiral Titus,Proximity Mines,Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,0,395,
Empire,Admiral Motti,Surprise Attack,Contested Outpost,Solar Corona,ISD Kuat,"Emperor Palpatine
(Officer)",Ordnance Experts,"Phylon Q7 
Tractor Beams","Electronic 
Countermeasures",Point Defense Ion Cannons,"Assault Proton 
Torpedoes",,,,,,"Onager Star 
Destroyer",Cataclysm,Governor Pryce,"Gunnery Chief 
Varnillian",Veteran Gunners,XI7 Turbolasers,"Orbital Bombardment
Particle Cannons",,,,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,"TIE Defender 
(Darth Vader)","JumpMaster 5000
(Tel Trevura)","TIE Interceptor 
(Saber Squadron)",,,,,,,,,,,,,,,,54,399,
Empire,General Romodi,Most Wanted,Asteroid Tactics,Infested Fields,"Arquitens
Light Cruiser",Captain Needa,"Turbolaser Reroute 
Circuits",,,,,,,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Linked Turbolaser
Towers",,,,,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Linked Turbolaser
Towers",,,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Linked Turbolaser
Towers",,,,,"Arquitens
Light Cruiser",Expert Shield Tech,"Linked Turbolaser
Towers",,,,,"Gozanti
Cruisers",Disposable Capacitors,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,384,TIE Fighter,TIE Fighter,,,,,,,,,,,,,,,,,16,400,
Empire,General Romodi,Advanced Gunnery,Hyperspace Assault,Infested Fields,Raider 2,Corvus,Admiral Titus,"Weapons Battery
Techs",Disposable Capacitors,"Ion Cannon 
Batteries",,,,,,,Victory 2,Harrow,Minister Tua,Veteran Gunners,Engine Techs,Disposable Capacitors,"Electronic 
Countermeasures","Heavy Ion
Emplacements","Quad Battery 
Turrets",,Gladiator 1,Demolisher,Hondo Ohnaka,Ordnance Experts,Engine Techs,External Racks,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,"TIE Bomber 
(Captain Jonus)","TIE Bomber 
(Gamma Squadron)",TIE Advanced,TIE Advanced,TIE Advanced,TIE Fighter,,,,,,,,,,,,,70,400,
Republic,Luminara Unduli,Surprise Attack,Fleet in Being,Superior Positions,Venator 2,Tranquility,Clone Captain Silver,Flight Controllers,Hyperspace Rings,Thermal Shields,DBY-827 Heavy Turbolasers,,,,,,Pelta Transport,Projection Experts,Parts Resupply,,,,,,,,Pelta Medical,Ahsoka Tano (rep),"Expanded 
Hangar Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","BTL-B Y-Wing
(Matchstick)",ARC-170,ARC-170,ARC-170,ARC-170,ARC-170,,,,,,,,,,,132,399,
Rebel,Admiral Raddus,Most Wanted,Fighter Ambush,Superior Positions,CR90-A,Jaina's Light,Toryn Farr,"Electronic 
Countermeasures",,,,,,,,,"MC75 Armored
Cruiser",Profundity,Lando Calrissian,Boarding Troopers,"Electronic 
Countermeasures",External Racks,"Quad Battery 
Turrets",,,,CR90-B,Hondo Ohnaka,Overload Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,"Millennium Falcon 
(Han Solo)","Ghost (Hera 
Syndulla)","Shadow Caster 
(Ketsu Onyo)",A-wing (Shara Bey),A-wing,A-wing,Z-95,Z-95,,,,,,,,,,,129,398,
Rebel,Admiral Ackbar,Most Wanted,Asteroid Tactics,Hyperspace Migration,"Assault Frigate
Mk2B",Lando Calrissian,"Electronic 
Countermeasures","Dual Turbolaser 
Turrets",,,,,,,,,"MC30c
Scout",Expert Shield Tech,Ordnance Experts,External Racks,"Dual Turbolaser 
Turrets",,,,,,"MC30c
Scout",Expert Shield Tech,Ordnance Experts,External Racks,"Dual Turbolaser 
Turrets",,,,CR90-A,Jaina's Light,"Dual Turbolaser 
Turrets",,,,,CR90-A,"Dual Turbolaser 
Turrets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,
Republic,Plo Koon,Precision Strike,Fighter Ambush,Superior Positions,Venator 2,Resolute,Flight Commander,Flight Controllers,"Rapid Launch 
Bays",Thermal Shields,External Racks,XI7 Turbolasers,,,,,Charger c70,"Turbolaser Reroute 
Circuits",,,,,,,,,Charger c70,"Turbolaser Reroute 
Circuits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"Delta-7
(Anakin Skywalker)","Delta-7
(Ahsoka Tano)",BTL-B Y-Wing,ARC-170,ARC-170,ARC-170,ARC-170,ARC-170,,,,,,,,,,,132,398,
Empire,Moff Jerjerrod,Advanced Gunnery,Contested Outpost,Doomed Station,"Star Dreadnought
Assault Prototype",Ravager,"Emperor Palpatine
(Officer)",Commander Vanto,Governor Pryce,Local Fire Control,Flak Guns,Overload Pulse,XI7 Turbolasers,"Quad Battery 
Turrets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,"TIE Defender 
(Darth Vader)","Hound's Tooth 
(Bossk)","TIE Advanced 
(Zertik Strom)","JumpMaster 5000
(Tel Trevura)",,,,,,,,,,,,,,,80,400,
Rebel,Krysta Agate,Advanced Gunnery,Contested Outpost,Solar Corona,Providence (Reb),Raymus Antilles,Major Derlin,Ordnance Experts,Quad Laser Turrets,Sensor Team,Engineering Team,"Auxiliary 
Shield Teams",,,,,Starhawk 1,Unity,Walex Blissex,Expert Shield Tech,Ordnance Experts,Quad Laser Turrets,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,"GR-75 Medium
Transports",Toryn Farr,Parts Resupply,,,,,,"GR-75 Medium
Transports","Leia Organa
(Officer)",Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,0,388,
Separatist,TF-1726,Advanced Gunnery,Fleet in Being,Solar Corona,"Recusant-class 
Light Destroyer",Patriot Fist,Shu Mai,Ordnance Experts,B2 Rocket Troopers,"Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,,,"Providence-class 
Carrier",Invincible,Wat Tambor,B2 Rocket Troopers,Thermal Shields,"Reinforced 
Blast Doors",External Racks,Point Defense Ion Cannons,XI7 Turbolasers,"Intensify
Firepower","Hardcell-class
Transport",Beast of Burden,Hondo Ohnaka,Tikkes,Engineering Team,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,397,
Republic,Bail Organa,Most Wanted,Fighter Ambush,Minefields,Pelta Transport,Projection Experts,Parts Resupply,,,,,,,,,,Venator 1,Resolute,Clone Captain Silver,Ordnance Experts,Flak Guns,External Racks,Spinal Armament,"Intensify
Firepower",,,Acclamator 1,Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,,"Consular Armed
Cruiser",Radiant VII,Clone Navigation Officer,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,"Delta-7
(Anakin Skywalker)","V-19
(Axe)",V-19,V-19,,,,,,,,,,,,,,,65,398,
Separatist,General Grievous,Precision Strike,Hyperspace Assault,Superior Positions,"Munificent-class
Comms Frigate",Sa Nalaor,Flight Commander,"Expanded 
Hangar Bay",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,,"Hardcell-class
Transport",Beast of Burden,Comms Net,,,,,,,,"Hardcell-class
Transport",TI-99,"Fighter Coordination 
Team","Bomber Command 
Center",,,,,Gozanti (CIS),Flight Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,"Belbullab-22
(Wat Tambor)","Hyena Bomber
(DBS-404)","Vulture Fighter
(Haor Chall)",Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,,,,,,,,127,391,
Empire,Admiral Motti,,,,ISD 2,Captain Needa,Boarding Troopers,"Electronic 
Countermeasures",Leading Shots,"Quad Battery 
Turrets",,,,,,,"Interdictor
Suppression",Interdictor,Governor Pryce,Disposable Capacitors,Overload Pulse,"G-8 Experimental
 Projector",Grav Shift Reroute,,,,"Quasar
Fire 1","Emperor Palpatine
(Officer)",Boarding Troopers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,YV-666 (Moralo Eval),"Lambda-class 
Shuttle","Lambda-class 
Shuttle",,,,,,,,,,,,,,,,52,400,
Separatist,Mar Tuuk,Close-Range Intel Scan,Capture the VIP,Superior Positions,"Munificent-class
Star Frigate",Tide of Progress XII,Engine Techs,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,,"Munificent-class
Star Frigate",Engine Techs,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,"Hardcell-class
Transport",Comms Net,,,,,,,"Hardcell-class
Transport",,,,,,,"Hardcell-class
Transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,395,
Republic,Anakin Skywalker,Opening Salvo,Asteroid Tactics,Solar Corona,Pelta Transport,TB-73,,,,,,,,,,,Venator 1,Ordnance Experts,"Reserve
Hangar Deck",External Racks,Mercy Mission,,,,,,Charger c70,"Linked Turbolaser
Towers",,,,,,,Charger c70,"Linked Turbolaser
Towers",,,,,,Charger c70,"Linked Turbolaser
Towers",,,,,,"Consular Armed
Cruiser",,,,,,,,,,,,,,,,,,,,,,,,375,V-19,V-19,,,,,,,,,,,,,,,,,24,399,
Rebel,Commander Sato,,,,CR90-A,Jaina's Light,Lando Calrissian,,,,,,,,,,"MC30c
Scout",Hondo Ohnaka,Ordnance Experts,Advanced Projectors,"Assault Proton 
Torpedoes",Spinal Armament,,,,,"MC30c
Scout",Foresight,Ezra Bridger,Ordnance Experts,"Assault Proton 
Torpedoes",Spinal Armament,,,"GR-75 Combat
Retrofits",Bright Hope,Ahsoka Tano (reb),Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Outrider (Dash 
Rendar)",A-wing,YT-2400,VCX-100 Freighter,,,,,,,,,,,,,99,397,
Rebel,Admiral Ackbar,Surprise Attack,Fleet Ambush,Superior Positions,"MC80 Assault
Cruiser",Engine Techs,"Reinforced 
Blast Doors","Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,,"Assault Frigate
Mk2B","Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,,"MC30c
Torpedo",Foresight,Ordnance Experts,"Assault Proton 
Torpedoes",,,,,"GR-75 Medium
Transports",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,A-wing,A-wing,Z-95,Z-95,,,,,,,,,,,,,,,36,400,
Republic,Admiral Yularen,Precision Strike,Fleet in Being,Superior Positions,Venator 2,Tranquility,Clone Navigation Officer,Flight Controllers,"Expanded 
Hangar Bay",Thermal Shields,,,,,,,Acclamator 1,Clone Navigation Officer,Boarding Troopers,External Racks,,,,,,,Pelta Transport,TB-73,Hondo Ohnaka,Projection Experts,"Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,"BTL-B Y-Wing
(Anakin Skywalker)","V-19
(Axe)",V-19,V-19,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,,,100,394,
Empire,Admiral Sloane,,,,ISD 2,Captain Needa,Flight Controllers,"Reserve
Hangar Deck","Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,Gladiator 1,Demolisher,Ordnance Experts,External Racks,,,,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","TIE Fighter 
(Howlrunner)","TIE Interceptor 
(Saber Squadron)",TIE Fighter,TIE Interceptor,TIE Interceptor,,,,,,,,,,,124,399,
Empire,General Romodi,,,,ISD 2,Director Krennic,Gunnery Team,"Electronic 
Countermeasures",Point Defense Ion Cannons,Spinal Armament,,,,,,,"Interdictor
Suppression",Interdictor,Captain Brunson,Projection Experts,Disposable Capacitors,SW-7 Ion Batteries,Targetting Scrambler,Grav Shift Reroute,,,"Arquitens
Light Cruiser",Captain Needa,"Turbolaser Reroute 
Circuits",,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,0,395,
Empire,Grand Moff Tarkin,,,,ISD 2,Chimera,Captain Needa,Gunnery Team,"Early Warning
System",Point Defense Ion Cannons,"Linked Turbolaser
Towers","Entrapment 
Formation!",,,,,ISD Kuat,Agent Kallus,Ordnance Experts,Quad Laser Turrets,"Early Warning
System",Point Defense Ion Cannons,Ordnance Pods,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,"Hound's Tooth 
(Bossk)","Slave I 
(Hondo Ohnaka)",,,,,,,,,,,,,,,,,47,396,
Rebel,Admiral Ackbar,,,,"MC80 Assault
Cruiser",Defiance,Engine Techs,"Early Warning
System","Electronic 
Countermeasures",Leading Shots,XI7 Turbolasers,,,,,,CR90-A,Jaina's Light,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","A-wing (Green 
Squadron)",,,,,,,,,,,,,,,68,395,
Empire,Darth Vader,,,,"Onager Star 
Destroyer",Rakehell,"Emperor Palpatine
(Officer)",Gunnery Team,"Weapons Battery
Techs","Heavy Turbolaser 
Turrets","Orbital Bombardment
Particle Cannons",,,,,,ISD Cymoon,Relentless,XX-9 Turbolasers,,,,,,,,"Gozanti
Cruisers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,,,,,,,,,,,,56,385,
Rebel,Krysta Agate,,,,"MC80 Assault
Cruiser","Mon Calamari
Exodus Fleet",Raymus Antilles,Advanced Projectors,"Electronic 
Countermeasures","Heavy Ion
Emplacements","Linked Turbolaser
Towers",,,,,,"MC80 Assault
Cruiser","Mon Calamari
Exodus Fleet",Toryn Farr,Advanced Projectors,"Electronic 
Countermeasures","Heavy Ion
Emplacements","Linked Turbolaser
Towers",,,,"GR-75 Combat
Retrofits",Bright Hope,Ahsoka Tano (reb),Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",,,,,,,,,,,,,,,,,33,400,
Rebel,General Dodonna,,,,CR90-B,Dodonna's Pride,,,,,,,,,,,"Assault Frigate
Mk2B",Gallant Haven,Major Derlin,Flight Controllers,"Expanded 
Hangar Bay","Early Warning
System",,,,,"Hammerhead
Torpedo",Garel's Honor,Boarding Engineers,,,,,,"Nebulon-B
Support",Yavaris,Flight Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,"X-wing (Hera 
Syndula)","X-wing (Biggs 
Darklighter)","X-wing (Wedge 
Antilles)","Y-wing (Dutch 
Vander)",X-wing,X-wing,X-wing,Y-wing,,,,,,,,,,,126,397,
Rebel,Leia Organa,,,,"MC80 Assault
Cruiser","Mon Calamari
Exodus Fleet",Skilled First Officer,Engine Techs,"Reinforced 
Blast Doors","Early Warning
System",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,"MC80 Assault
Cruiser","Mon Calamari
Exodus Fleet",Skilled First Officer,Engine Techs,"Reinforced 
Blast Doors","Early Warning
System",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,"Nebulon-B
Support",Redemption,Ezra Bridger,Projection Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,0,398,
Empire,Admiral Sloane,,,,"Onager Star 
Destroyer",Rakehell,Skilled First Officer,Veteran Gunners,Ordnance Experts,"Linked Turbolaser
Towers",,,,,,,"Quasar
Fire 1",Squall,Skilled First Officer,Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Interceptor 
(Ciena Ree)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Defender,TIE Defender,TIE Defender,,,,,,,,,,,133,397,
Empire,Admiral Sloane,,,,ISD 2,"Emperor Palpatine
(Officer)",Gunnery Team,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,,"Quasar
Fire 1",Skilled First Officer,Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,,,"Gozanti
Cruisers",Suppressor,Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Defender,TIE Defender,,,,,,,,,,,,125,398,
Empire,Darth Vader,,,,ISD Cymoon,Director Krennic,Gunnery Team,Spinal Armament,XI7 Turbolasers,"Take Evasive
Action!",,,,,,,ISD Kuat,"Emperor Palpatine
(Officer)",Ordnance Experts,"Electronic 
Countermeasures",Leading Shots,"Expanded 
Launchers",,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,"TIE Interceptor 
(Ciena Ree)","JumpMaster 5000
(Tel Trevura)",,,,,,,,,,,,,,,,,34,388,
Empire,Admiral Sloane,,,,"Quasar
Fire 1",Pursuant,"Emperor Palpatine
(Officer)",Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,,,ISD Cymoon,Minister Tua,Flight Controllers,"Early Warning
System",Boosted Comms,XI7 Turbolasers,"Linked Turbolaser
Towers",,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,"TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Fighter 
(Howlrunner)",TIE Defender,TIE Defender,TIE Defender,TIE Interceptor,TIE Interceptor,,,,,,,,,,,122,390,
Empire,Moff Jerjerrod,,,,"Star Dreadnought
Assault Prototype",Ravager,Captain Needa,"Emperor Palpatine
(Officer)",Governor Pryce,Gunnery Team,Quad Laser Turrets,"Point Defense 
Reroute",Overload Pulse,"Heavy Ion
Emplacements",Quad Laser Turrets,"Linked Turbolaser
Towers","Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,"Gozanti
Cruisers",Admiral Titus,Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,0,390,
Empire,Admiral Piett,,,,ISD 1,Chimera,Wulff Yularen,Ordnance Experts,"Expanded 
Hangar Bay",Boosted Comms,"Linked Turbolaser
Towers","All Fighters, 
Follow Me!",,,,,Gladiator 1,Demolisher,Ordnance Experts,"Assault Proton 
Torpedoes",,,,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Interceptor 
(Ciena Ree)","Hound's Tooth 
(Bossk)",TIE Fighter,TIE Fighter,TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,,130,400,
